subID,Trial_number,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST
1,7,128,0,0,0,1,1,1,1.429
1,6,129,1,0,0,1,1,1,1.4589
1,16,128,1,0,0,1,1,1,1.6162
1,18,117,0,1,0,1,1,1,1.5597
1,29,93,1,1,0,0,1,1,1.4815
1,27,104,0,0,1,0,1,1,1.4674
1,10,124,1,0,1,0,1,1,1.727
1,23,109,1,1,0,1,1,1,1.453
1,14,115,0,0,0,1,1,1,1.451
1,8,128,0,1,1,0,1,1,1.5186
1,11,123,1,1,0,1,1,1,1.3907
1,7,128,0,0,1,1,1,1,1.5154
1,6,129,1,0,1,0,1,1,1.5932
1,29,102,0,1,1,1,1,1,1.5262
1,17,121,0,0,0,1,1,1,1.2814
1,22,111,1,0,0,0,1,1,1.4846
1,21,114,1,0,1,0,1,1,1.4776
1,31,0,1,1,1,1,1,1,0.72747
1,9,129,0,1,1,0,1,1,1.4787
1,4,125,0,1,1,0,1,1,1.8603
1,4,128,1,0,0,1,1,1,1.4213
1,11,123,1,1,0,0,1,1,1.4286
1,7,128,0,0,0,0,1,1,1.4823
1,15,116,1,0,0,1,1,1,1.5361
1,2,133,0,1,1,0,1,1,1.4684
1,19,112,0,0,1,1,1,1,1.3345
1,5,129,0,1,1,0,1,1,1.6237
1,22,111,1,1,1,1,1,1,1.4399
1,24,110,0,0,1,0,1,1,1.4803
1,12,122,1,1,0,0,1,1,1.4813
1,32,0,1,0,1,1,1,1,0.051655
1,14,121,1,0,0,0,1,1,1.4662
1,6,129,1,1,0,0,1,1,1.9092
1,4,125,0,0,0,1,1,1,1.6443
1,13,118,0,1,0,0,1,1,1.507
1,28,100,0,1,1,1,1,1,1.698
1,23,109,1,0,0,1,1,1,1.5716
1,2,133,0,0,1,1,1,1,1.4785
1,5,129,0,0,1,0,1,1,1.5974
1,9,129,0,1,1,1,1,1,1.5755
1,20,115,0,1,1,1,1,1,1.4667
1,30,96,1,0,0,1,1,1,1.4171
1,8,128,0,1,0,1,1,1,1.7654
1,32,0,0,1,1,1,1,1,0.54338
1,6,129,0,1,0,1,1,1,1.5237
1,29,102,0,0,0,0,1,1,1.556
1,25,111,0,0,1,1,1,1,1.357
1,9,125,1,1,1,1,1,1,1.5613
1,16,111,0,0,0,1,1,1,1.3939
1,15,121,0,0,1,0,1,1,1.3812
1,20,110,1,0,0,0,1,1,1.4446
1,14,115,0,1,1,0,1,1,1.5108
1,7,127,1,1,0,1,1,1,1.4877
1,4,128,1,0,0,0,1,1,1.6156
1,16,111,0,1,0,0,1,1,1.6118
1,6,129,1,0,0,0,1,1,1.5538
1,3,133,0,0,1,1,1,1,1.3911
1,26,106,1,0,1,1,1,1,1.4443
1,6,129,0,1,0,0,1,1,1.433
1,2,133,0,0,1,0,1,1,1.4828
1,16,128,1,1,0,1,1,1,1.6742
1,1,136,0,0,0,0,0,0,0.012632
1,4,125,0,0,0,0,1,1,1.6199
1,32,0,0,0,1,1,1,1,0.44092
1,25,106,1,1,1,0,1,1,1.6708
1,2,131,1,1,0,0,1,1,1.4735
1,20,110,1,0,0,1,1,1,1.429
1,27,106,1,0,1,1,1,1,1.3095
1,5,133,1,1,0,0,1,1,1.2554
1,11,125,0,1,1,0,1,1,1.3591
1,10,124,1,0,1,1,1,1,1.514
1,21,114,1,0,0,1,1,1,1.4138
1,8,129,1,0,0,0,1,1,1.5304
1,26,106,1,1,1,0,1,1,1.3182
1,19,112,0,0,0,0,1,1,1.5473
1,32,0,0,0,1,1,1,1,0.25121
1,21,114,1,1,1,1,1,1,1.4241
1,12,122,1,0,1,1,1,1,1.4387
1,7,127,1,0,0,1,1,1,1.3708
1,26,106,1,1,0,0,1,1,1.5309
1,11,125,0,0,1,1,1,1,1.5819
1,28,108,1,1,1,1,1,1,1.4524
1,23,109,1,1,0,0,1,1,1.5563
1,29,102,0,0,1,1,1,1,1.4523
1,20,110,1,1,0,1,1,1,1.5394
1,27,104,0,0,0,0,1,1,1.414
1,26,105,0,1,0,1,1,1,1.706
1,29,102,0,1,1,0,1,1,1.6665
1,1,136,0,0,1,0,0,1,1.8292
1,10,128,0,1,0,0,1,1,1.5324
1,31,0,1,0,1,1,1,1,0.96708
1,26,105,0,1,0,0,1,1,1.2888
1,2,131,1,1,1,0,1,1,1.5854
1,17,113,1,0,0,1,1,1,1.5951
1,5,129,0,1,0,1,1,1,1.5684
1,17,121,0,0,1,1,1,1,1.4875
1,23,109,1,1,1,0,1,1,1.5768
1,29,93,1,0,0,1,1,1,1.6252
1,20,115,0,0,1,1,1,1,1.417
1,2,133,0,1,1,1,1,1,1.7118
1,19,112,0,1,0,1,1,1,1.5263
1,9,129,0,1,0,1,1,1,1.351
1,20,115,0,0,0,0,1,1,1.6898
1,29,93,1,1,1,1,1,1,1.591
1,22,111,1,1,0,1,1,1,1.5988
1,32,0,0,1,0,1,1,1,1.033
1,11,125,0,1,0,0,1,1,1.72
1,8,129,1,1,1,0,1,1,1.5062
1,9,129,0,0,1,0,1,1,1.6586
1,25,106,1,0,1,1,1,1,1.8547
1,28,100,0,0,1,1,1,1,1.6289
1,11,123,1,1,1,0,1,1,1.5653
1,27,106,1,0,0,1,1,1,1.4553
1,7,128,0,1,1,1,1,1,1.4892
1,11,123,1,1,1,1,1,1,1.5788
1,15,121,0,1,1,1,1,1,1.5556
1,30,96,1,1,0,0,1,1,1.5069
1,9,125,1,0,0,1,1,1,1.4858
1,7,127,1,0,0,0,1,1,1.6903
