subID,Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST
51,6,6,129,2,2,1,2,0,0,0.010424
51,29,29,93,1,1,2,1,0,1,0.61013
51,24,24,110,1,1,2,2,0,0,0.0032503
51,12,12,122,1,2,1,2,1,1,1.6489
51,19,19,112,2,1,1,1,1,1,1.5749
51,15,15,121,2,1,2,2,0,0,0.012114
51,22,22,111,1,2,2,2,0,0,0.0082598
51,27,27,106,1,1,2,2,1,1,1.9295
51,9,9,129,2,2,2,2,1,1,1.6256
51,8,8,129,1,2,1,2,1,1,1.4057
51,24,24,110,1,2,1,1,1,1,1.8082
51,31,31,0,1,1,1,1,1,1,0.75019
51,10,10,124,1,2,2,2,1,1,1.6268
51,17,17,121,2,2,1,2,1,1,1.6353
51,19,19,115,1,1,2,2,0,0,0.0035242
51,3,3,133,2,1,2,1,1,1,1.832
51,9,9,125,1,1,1,2,1,1,1.7263
51,22,22,115,2,2,1,2,1,1,1.6414
51,1,1,136,2,1,1,2,1,1,1.6324
51,17,17,121,2,2,1,1,1,1,1.6728
51,5,5,129,2,2,2,2,1,1,1.8566
51,30,30,96,1,1,2,1,0,0,0.00074058
51,16,16,111,2,1,1,1,1,1,1.5752
51,5,5,129,2,2,1,2,1,1,1.6257
51,18,18,117,2,1,1,2,1,1,1.7269
51,4,4,125,2,1,2,2,0,0,0.0081539
51,31,31,0,1,2,1,1,1,1,1.1455
51,25,25,111,2,2,2,1,0,0,0.013367
51,3,3,133,2,2,1,2,1,1,1.6256
51,18,18,111,1,2,1,1,1,1,1.3754
51,16,16,111,2,1,1,2,1,1,1.552
51,4,4,128,1,1,2,2,1,1,1.7847
51,7,7,127,1,1,1,2,1,1,1.6301
51,4,4,128,1,2,1,2,1,1,1.2351
51,11,11,123,1,2,2,1,0,0,0.0039511
51,28,28,108,1,1,2,2,1,1,1.5515
51,9,9,125,1,2,2,2,1,1,1.9246
51,16,16,111,2,1,2,2,1,1,1.9054
51,15,15,121,2,1,2,1,1,1,1.634
51,16,16,128,1,2,2,1,1,1,1.5871
51,12,12,117,2,1,1,2,1,1,1.781
51,32,32,0,2,2,2,1,1,1,1.2182
51,18,18,117,2,2,1,2,1,1,1.5144
51,14,14,121,1,1,1,1,1,1,1.5123
51,15,15,116,1,2,2,1,1,1,1.5389
51,5,5,133,1,2,2,1,1,1,1.7297
51,20,20,115,2,1,1,2,1,1,1.5707
51,21,21,114,1,2,2,2,1,1,1.5455
51,18,18,117,2,1,2,1,1,1,1.6429
51,2,2,131,1,1,2,2,1,1,1.7177
51,30,30,96,1,2,2,1,1,1,1.7591
51,28,28,100,2,1,2,1,1,1,1.7406
51,23,23,103,2,2,2,1,1,1,1.6065
51,8,8,129,1,1,1,1,1,1,1.5296
51,21,21,109,2,2,1,2,1,1,1.7744
51,18,18,117,2,2,2,2,1,1,1.5963
51,7,7,128,2,1,2,1,0,0,0.0094128
51,18,18,111,1,2,2,2,1,1,1.3635
51,2,2,131,1,1,2,1,1,1,1.6928
51,17,17,113,1,2,2,1,1,1,1.6055
51,7,7,128,2,2,1,2,1,1,1.5604
51,32,32,0,2,1,1,1,1,1,0.18011
51,27,27,106,1,2,1,1,1,1,1.7224
51,25,25,111,2,1,1,1,1,1,1.4612
51,27,27,104,2,2,2,1,1,1,1.5913
51,2,2,133,2,2,2,2,1,1,1.4073
51,1,1,134,1,1,2,1,1,1,1.6246
51,29,29,102,2,2,1,1,1,1,1.6688
51,5,5,133,1,2,1,1,1,1,1.6471
51,30,30,97,2,1,1,1,1,1,1.5619
51,26,26,105,2,2,2,1,1,1,1.4635
51,23,23,109,1,1,2,2,1,1,1.7662
51,31,31,0,1,1,1,1,1,1,1.0566
51,29,29,102,2,1,2,1,1,1,1.7006
51,25,25,106,1,1,1,2,1,1,1.8585
51,3,3,129,1,2,2,2,1,1,1.7243
51,4,4,125,2,2,1,1,1,1,1.6907
51,27,27,106,1,2,1,2,1,1,1.7328
51,12,12,117,2,2,1,1,1,1,1.8877
51,25,25,111,2,2,1,2,1,1,1.5196
51,14,14,121,1,2,1,1,1,1,1.5207
51,7,7,128,2,2,1,1,1,1,1.7781
51,21,21,109,2,2,2,1,1,1,1.5076
51,25,25,111,2,2,1,1,1,1,1.7085
51,10,10,124,1,1,1,1,1,1,1.8007
51,29,29,93,1,2,2,2,0,0,0.0017597
51,30,30,97,2,2,2,2,1,1,1.6051
51,31,31,0,1,1,2,1,1,1,1.0671
51,6,6,129,1,1,1,1,1,1,1.5294
51,1,1,134,1,2,1,2,0,0,0.0093732
51,12,12,117,2,1,2,1,1,1,1.907
51,5,5,129,2,1,1,2,1,1,1.6426
51,22,22,115,2,2,2,1,1,1,1.7645
51,24,24,110,2,2,1,2,1,1,1.9949
51,20,20,110,1,2,1,2,0,0,0.0011242
51,17,17,113,1,2,1,2,1,1,1.7089
51,26,26,106,1,2,2,2,1,1,1.4927
51,26,26,106,1,1,1,2,1,1,1.6733
51,3,3,133,2,1,1,1,1,1,1.5528
51,8,8,128,2,1,2,1,1,1,1.87
51,29,29,93,1,2,1,1,1,1,1.7095
51,9,9,129,2,1,2,1,0,0,0.014178
51,20,20,115,2,2,1,1,1,1,1.6106
51,31,31,0,2,1,2,1,1,1,0.59606
51,8,8,129,1,2,1,1,1,1,1.7675
51,30,30,96,1,1,1,1,1,1,1.5634
51,3,3,133,2,2,2,1,0,0,0.0048786
51,10,10,128,2,2,2,2,1,1,1.8654
51,19,19,112,2,2,2,2,1,1,1.9617
51,15,15,121,2,2,2,2,1,1,1.6377
51,12,12,122,1,2,1,1,1,1,1.5766
51,10,10,128,2,2,2,1,1,1,1.8197
51,21,21,114,1,2,1,1,1,1,1.4549
51,26,26,105,2,1,2,1,1,1,1.68
51,27,27,106,1,1,1,2,1,1,1.4663
51,6,6,129,2,1,2,2,1,1,1.7565
51,6,6,129,2,1,1,1,1,1,1.5986
51,13,13,118,1,1,1,2,1,1,1.7447
51,3,3,133,2,1,1,2,1,1,1.8186
51,24,24,110,1,2,1,2,1,1,1.8096
51,32,32,0,2,2,2,1,1,1,0.58592
51,20,20,115,2,2,1,2,0,0,0.0019922
51,5,5,133,1,1,1,2,1,1,1.7217
51,21,21,114,1,1,1,2,1,1,1.6444
51,7,7,127,1,1,2,1,0,0,0.0099624
51,14,14,121,1,1,1,2,1,1,1.7471
51,16,16,128,1,1,2,1,1,1,1.9152
51,29,29,102,2,1,1,1,1,1,1.702
51,18,18,111,1,2,1,2,1,1,1.5377
51,8,8,128,2,2,2,1,1,1,1.5186
51,19,19,115,1,1,1,1,1,1,1.8251
51,29,29,93,1,1,1,2,1,1,1.4159
51,15,15,121,2,1,1,2,1,1,1.4412
51,32,32,0,1,1,2,1,1,1,1.1667
51,15,15,116,1,1,2,1,1,1,1.4411
51,26,26,106,1,1,2,1,1,1,1.891
51,22,22,115,2,1,2,1,1,1,1.5358
51,2,2,131,1,2,1,2,1,1,1.743
51,14,14,115,2,1,2,2,1,1,1.4763
51,10,10,124,1,2,2,1,1,1,1.426
51,10,10,124,1,2,1,2,1,1,1.3171
51,26,26,105,2,1,1,1,1,1,1.6163
51,28,28,108,1,2,2,2,1,1,1.461
51,21,21,109,2,2,1,1,1,1,1.5188
51,28,28,100,2,2,2,2,1,1,1.3952
51,11,11,125,2,2,1,2,1,1,1.4487
51,7,7,128,2,1,1,2,1,1,1.4815
51,25,25,106,1,2,1,1,1,1,1.9839
51,24,24,110,1,1,1,1,0,0,0.0056675
51,12,12,122,1,2,2,1,1,1,1.9944
51,9,9,125,1,2,1,1,1,1,1.5873
51,32,32,0,1,1,1,1,1,1,0.61465
51,6,6,129,1,2,2,2,1,1,1.2896
51,19,19,112,2,1,2,2,1,1,1.5329
51,5,5,129,2,1,2,1,0,0,0.0019408
51,17,17,121,2,2,2,2,0,0,0.015161
51,28,28,108,1,1,1,1,1,1,1.3602
51,5,5,129,2,2,2,1,1,1,1.4746
51,4,4,125,2,1,2,1,1,1,1.9442
51,9,9,129,2,1,2,2,0,0,0.0042374
51,7,7,128,2,1,1,1,1,1,1.3969
51,31,31,0,1,2,1,1,1,1,0.0075229
