subID,domEyeR,threshStHi,threshStLo,thresh,Trial_number,Sentence_ID,Sentence_pixel_length,Congruent,Familiar,LocationTop,Cued,Trialcorrect,Trialbroken,ST
2,1,0.8,0.15,0.475,83,16,128,1,1,1,0,0,0,0.011993
2,1,0.8,0.15,0.475,84,25,106,1,0,1,0,1,1,0.18704
2,1,0.8,0.15,0.475,85,1,134,1,0,1,1,1,1,1.4775
2,1,0.8,0.15,0.475,86,25,106,1,0,1,1,1,1,1.5488
2,1,0.8,0.15,0.475,87,25,111,0,1,1,1,1,1,1.6316
2,1,0.8,0.15,0.475,88,17,113,1,0,0,0,1,1,1.1913
2,1,0.8,0.15,0.475,89,18,111,1,0,0,1,1,1,1.1206
2,1,0.8,0.15,0.475,90,13,118,0,0,1,1,1,1,1.6984
2,1,0.8,0.15,0.475,91,27,104,0,1,1,1,1,1,1.6374
2,1,0.8,0.15,0.475,92,5,129,0,1,1,1,1,1,1.3032
2,1,0.8,0.15,0.475,93,6,129,1,1,1,1,1,1,1.5287
2,1,0.8,0.15,0.475,94,13,118,1,1,1,1,1,1,1.7336
2,1,0.8,0.15,0.475,95,31,0,0,0,1,0,0,0,0.0045856
2,1,0.8,0.15,0.475,96,1,136,0,1,0,0,1,1,1.1367
2,1,0.8,0.15,0.475,97,25,111,0,0,0,1,1,1,1.2852
2,1,0.8,0.15,0.475,98,26,105,0,0,0,0,1,1,1.3084
2,1,0.8,0.15,0.475,99,22,115,0,1,1,0,0,0,0.016612
2,1,0.8,0.15,0.475,100,3,129,1,0,1,0,1,1,1.6983
2,1,0.8,0.15,0.475,101,7,128,0,1,1,1,1,1,1.7583
2,1,0.8,0.15,0.475,102,6,129,0,0,1,1,1,1,1.586
2,1,0.8,0.15,0.475,103,5,133,1,0,1,1,1,1,1.6446
2,1,0.8,0.15,0.475,104,14,121,1,0,0,1,1,1,1.2257
2,1,0.8,0.15,0.475,105,28,100,0,1,0,1,1,1,1.3301
2,1,0.8,0.15,0.475,106,16,128,1,1,1,1,1,1,1.476
2,1,0.8,0.15,0.475,107,10,124,1,0,0,1,1,1,1.2259
2,1,0.8,0.15,0.475,108,14,115,0,0,0,1,1,1,1.2128
2,1,0.8,0.15,0.475,109,26,105,0,1,0,1,1,1,1.1234
2,1,0.8,0.15,0.475,110,30,97,0,1,1,1,1,1,1.5671
2,1,0.8,0.15,0.475,111,31,0,0,1,0,0,0,0,0.00069508
2,1,0.8,0.15,0.475,112,32,0,0,1,0,0,0,0,0.011526
2,1,0.8,0.15,0.475,113,26,106,1,0,0,0,1,1,1.3216
2,1,0.8,0.15,0.475,114,1,136,0,0,0,0,1,1,1.4297
2,1,0.8,0.15,0.475,115,22,111,1,1,1,0,1,1,1.7542
2,1,0.8,0.15,0.475,116,15,116,1,0,0,1,1,1,1.1965
2,1,0.8,0.15,0.475,117,9,125,1,0,0,0,1,1,1.214
2,1,0.8,0.15,0.475,118,29,93,1,0,1,1,1,1,1.4607
2,1,0.8,0.15,0.475,119,18,117,0,1,0,0,1,1,1.0887
2,1,0.8,0.15,0.475,120,22,111,1,1,0,0,1,1,1.3479
2,1,0.8,0.15,0.475,121,23,103,0,1,0,0,1,1,1.3046
2,1,0.8,0.15,0.475,122,9,125,1,0,1,1,1,1,1.3861
2,1,0.8,0.15,0.475,123,32,0,0,1,1,0,0,0,0.013788
2,1,0.8,0.15,0.475,124,31,0,1,0,1,0,0,0,0.0052312
2,1,0.8,0.15,0.475,125,30,96,1,0,0,0,1,1,1.2901
2,1,0.8,0.15,0.475,126,25,106,1,1,1,0,1,1,1.5486
2,1,0.8,0.15,0.475,127,5,129,0,0,0,1,1,1,1.3044
2,1,0.8,0.15,0.475,128,7,127,1,0,0,0,1,1,1.2758
2,1,0.8,0.15,0.475,129,10,124,1,0,0,0,1,1,1.3283
2,1,0.8,0.15,0.475,130,16,111,0,1,1,1,1,1,1.663
2,1,0.8,0.15,0.475,131,32,0,1,0,0,1,1,1,1.2211
2,1,0.8,0.15,0.475,132,21,109,0,0,0,1,1,1,1.3027
2,1,0.8,0.15,0.475,133,14,115,0,0,1,0,1,1,1.4904
2,1,0.8,0.15,0.475,134,7,128,0,1,0,1,1,1,1.3019
2,1,0.8,0.15,0.475,135,29,93,1,1,1,1,1,1,1.4936
2,1,0.8,0.15,0.475,136,10,124,1,1,0,0,1,1,1.2309
2,1,0.8,0.15,0.475,137,9,125,1,0,1,0,1,1,1.6881
