Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST
0,0,0,0,0,0,0,1,1,1.8673
0,0,0,0,0,0,0,0,0,5.0134
0,0,0,0,0,0,0,1,1,3.6419
0,0,0,0,0,0,0,1,1,0.94258
0,0,0,0,0,0,0,1,1,1.1152
0,0,0,0,0,0,0,1,1,0.90585
0,0,0,0,0,0,0,1,1,2.3357
0,0,0,0,0,0,0,1,1,1.3484
0,0,0,0,0,0,0,1,1,0.9412
0,0,0,0,0,0,0,1,1,0.97729
0,0,0,0,0,0,0,1,1,0.8551
0,0,0,0,0,0,0,1,1,1.1612
0,0,0,0,0,0,0,1,1,1.1345
0,0,0,0,0,0,0,1,1,1.2573
0,0,0,0,0,0,0,1,1,2.0399
0,0,0,0,0,0,0,1,1,1.192
0,0,0,0,0,0,0,1,1,1.0534
0,0,0,0,0,0,0,1,1,1.009
0,0,0,0,0,0,0,1,1,1.4669
0,0,0,0,0,0,0,1,1,2.3891
0,0,0,0,0,0,0,1,1,2.046
0,0,0,0,0,0,0,1,1,1.1626
0,0,0,0,0,0,0,2,1,1.0069
0,0,0,0,0,0,0,2,1,1.1419
0,0,0,0,0,0,0,1,1,1.309
0,0,0,0,0,0,0,1,1,1.0123
0,0,0,0,0,0,0,1,1,2.3394
0,0,0,0,0,0,0,1,1,1.1506
0,0,0,0,0,0,0,1,1,1.1809
0,0,0,0,0,0,0,1,1,1.151
0,0,0,0,0,0,0,1,1,2.3524
0,0,0,0,0,0,0,1,1,1.2255
0,0,0,0,0,0,0,1,1,1.4915
0,0,0,0,0,0,0,1,1,1.06
0,0,0,0,0,0,0,1,1,2.0116
0,0,0,0,0,0,0,1,1,1.2441
0,0,0,0,0,0,0,2,1,1.0202
0,0,0,0,0,0,0,1,1,1.1291
0,0,0,0,0,0,0,1,1,1.2457
