subID,Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST
0,9,9,129,2,2,1,2,0,0,0.012419
52,8,8,129,1,1,2,2,1,1,1.4895
0,5,5,133,1,2,2,2,1,1,1.52
0,13,13,118,1,2,2,2,1,1,1.6875
52,29,29,93,1,1,1,2,1,1,1.8109
52,28,28,108,1,2,1,1,1,1,1.7615
52,16,16,128,1,2,1,2,1,1,1.722
52,22,22,115,2,2,2,1,1,1,1.6268
52,27,27,104,2,2,1,1,0,0,0.013166
52,18,18,117,2,1,1,1,1,1,1.4797
52,12,12,117,2,2,1,1,1,1,1.6458
52,5,5,129,2,1,2,1,1,1,1.3218
52,32,32,0,1,1,2,1,1,1,1.1711
52,13,13,118,2,2,2,2,1,1,1.5587
52,19,19,112,2,2,2,2,1,1,1.3658
52,16,16,128,1,1,2,2,1,1,1.3142
52,9,9,129,2,2,2,1,1,1,1.2906
52,14,14,121,1,2,2,1,1,1,1.3796
52,17,17,121,2,1,1,2,1,1,1.4283
52,25,25,111,2,2,2,1,1,1,1.3394
52,26,26,106,1,2,2,2,1,1,1.1635
52,29,29,93,1,1,2,1,1,1,1.4908
52,7,7,128,2,1,1,2,1,1,1.4768
52,8,8,129,1,1,2,1,1,1,1.4426
52,18,18,111,1,1,1,2,1,1,1.2973
52,19,19,112,2,1,2,2,1,1,1.4535
52,25,25,111,2,2,1,1,1,1,1.7089
52,32,32,0,2,2,2,1,1,1,1.1049
52,21,21,109,2,2,2,2,1,1,1.1647
52,14,14,121,1,1,2,1,1,1,1.236
52,23,23,109,1,1,2,2,1,1,1.3947
52,14,14,115,2,2,1,2,1,1,1.1181
52,3,3,129,1,1,2,1,1,1,1.5114
52,24,24,110,2,2,2,2,1,1,1.1396
52,1,1,136,2,1,1,1,1,1,1.2816
52,2,2,133,2,1,2,1,1,1,1.2613
52,1,1,134,1,2,2,2,1,1,1.4806
52,29,29,102,2,2,2,2,1,1,1.2492
52,4,4,125,2,2,2,2,1,1,1.455
52,22,22,111,1,1,1,1,1,1,1.3267
52,24,24,110,1,1,2,1,1,1,1.2175
52,27,27,106,1,1,1,1,1,1,1.4921
52,20,20,110,1,2,1,1,1,1,1.2399
52,3,3,129,1,1,2,2,1,1,1.3489
52,27,27,106,1,2,1,1,1,1,1.5027
52,27,27,106,1,1,2,2,1,1,1.2683
52,32,32,0,1,1,1,1,1,1,0.75543
52,24,24,110,1,1,1,1,1,1,1.2972
52,12,12,122,1,1,1,1,1,1,1.3341
52,15,15,121,2,1,1,2,1,1,1.5178
52,22,22,115,2,1,2,1,1,1,1.371
52,2,2,131,1,2,1,2,1,1,1.5207
52,9,9,129,2,2,1,1,1,1,1.6387
52,26,26,105,2,1,1,1,1,1,1.5826
52,13,13,118,1,1,1,1,1,1,1.4116
52,19,19,112,2,1,1,2,1,1,1.2137
52,10,10,128,2,1,1,1,1,1,1.4808
52,15,15,121,2,2,1,1,1,1,1.4779
52,21,21,114,1,2,2,2,1,1,1.3461
52,7,7,127,1,1,2,1,1,1,1.391
52,32,32,0,2,1,2,1,1,1,0.40123
52,12,12,122,1,1,1,2,1,1,1.4761
52,20,20,110,1,2,2,1,1,1,1.3398
52,14,14,115,2,2,2,2,1,1,1.1542
52,7,7,128,2,1,2,2,1,1,1.2509
52,10,10,128,2,1,2,2,1,1,1.2814
52,6,6,129,2,1,1,2,1,1,1.4237
52,6,6,129,1,2,2,1,1,1,1.3677
52,13,13,118,1,1,2,1,1,1,1.4109
52,10,10,128,2,2,1,1,1,1,1.4996
52,17,17,113,1,2,1,1,1,1,1.305
52,21,21,114,1,1,1,2,1,1,1.3542
52,21,21,109,2,2,1,2,1,1,1.4318
52,4,4,128,1,1,2,1,1,1,1.5052
52,32,32,0,1,2,2,1,1,1,0.81377
52,22,22,111,1,2,1,1,1,1,1.418
52,26,26,105,2,2,2,1,1,1,1.2928
52,20,20,115,2,1,1,1,1,1,1.581
52,7,7,127,1,1,1,2,1,1,1.3184
52,2,2,131,1,1,1,1,1,1,1.5313
52,23,23,109,1,2,1,1,1,1,1.4665
52,1,1,134,1,1,1,1,0,0,0.013907
52,30,30,96,1,1,2,1,0,0,0.010276
52,9,9,125,1,1,2,1,1,1,1.8244
52,18,18,111,1,2,1,1,1,1,1.7063
52,3,3,129,1,2,2,1,1,1,1.7146
52,10,10,128,2,2,2,1,1,1,1.626
52,1,1,136,2,2,2,2,1,1,1.5001
52,14,14,121,1,2,2,2,1,1,1.5331
52,4,4,128,1,2,2,2,1,1,1.4509
52,21,21,109,2,2,1,1,1,1,1.4759
52,27,27,104,2,1,2,2,1,1,1.3514
52,6,6,129,2,1,2,1,1,1,1.3478
52,31,31,0,1,2,1,1,1,1,0.24999
52,16,16,111,2,2,1,2,1,1,1.6141
52,12,12,117,2,1,2,2,1,1,1.7771
52,1,1,134,1,2,2,1,1,1,1.5347
52,23,23,109,1,1,2,1,1,1,1.8441
52,1,1,136,2,1,2,2,0,0,0.012199
52,2,2,133,2,2,1,1,1,1,1.557
52,24,24,110,2,2,1,1,1,1,1.4043
52,10,10,124,1,2,1,2,1,1,1.5499
52,3,3,129,1,2,1,1,1,1,1.3143
52,27,27,106,1,2,2,2,1,1,1.3843
52,12,12,122,1,2,1,2,1,1,1.448
52,3,3,129,1,1,1,2,1,1,1.7276
52,31,31,0,1,2,1,1,1,1,0.54057
52,20,20,115,2,1,1,2,1,1,1.5812
52,3,3,133,2,1,1,1,1,1,1.559
52,25,25,106,1,1,2,1,1,1,1.6365
52,8,8,128,2,2,2,1,1,1,1.3384
52,12,12,117,2,1,2,1,1,1,1.4028
52,30,30,96,1,1,2,2,1,1,1.4469
52,30,30,96,1,2,2,2,1,1,1.4722
52,6,6,129,1,1,2,1,1,1,1.7376
52,28,28,100,2,2,2,2,1,1,1.4587
52,12,12,117,2,1,1,1,1,1,1.6352
52,22,22,115,2,2,1,2,1,1,1.8021
52,11,11,125,2,1,2,2,1,1,1.172
52,26,26,106,1,1,2,2,1,1,1.3607
52,15,15,121,2,1,2,1,1,1,1.4043
52,17,17,121,2,1,2,2,1,1,1.5092
52,14,14,121,1,2,1,2,1,1,1.4934
52,31,31,0,1,1,2,1,1,1,0.53463
52,20,20,115,2,2,1,2,1,1,1.8621
52,28,28,108,1,1,2,2,1,1,1.3706
52,1,1,136,2,2,1,2,1,1,1.6236
52,17,17,121,2,2,1,2,1,1,1.4998
52,3,3,133,2,2,2,2,1,1,1.4302
52,23,23,109,1,1,1,2,1,1,1.7709
52,6,6,129,2,1,1,1,1,1,1.5141
52,29,29,102,2,1,1,2,1,1,1.6653
52,13,13,118,1,1,1,2,1,1,1.3356
52,10,10,128,2,2,1,2,1,1,1.8701
52,4,4,125,2,2,1,1,1,1,1.5929
52,9,9,129,2,1,1,1,1,1,1.6762
52,25,25,111,2,1,2,2,1,1,1.3383
52,13,13,118,1,2,2,1,1,1,1.6937
52,31,31,0,2,2,2,1,1,1,0.12832
52,24,24,110,2,1,1,1,1,1,1.6906
52,23,23,103,2,1,2,1,1,1,1.415
52,11,11,123,1,1,2,2,1,1,1.3339
52,8,8,129,1,2,1,1,1,1,1.8553
52,3,3,129,1,1,1,1,1,1,1.4645
52,10,10,128,2,1,2,1,1,1,1.5788
52,15,15,116,1,2,1,2,1,1,1.6918
52,28,28,108,1,2,1,2,0,1,1.5803
52,18,18,111,1,1,2,2,1,1,1.4352
52,27,27,106,1,2,2,1,1,1,1.2862
52,16,16,128,1,2,1,1,1,1,1.722
52,24,24,110,2,2,2,1,1,1,1.467
52,32,32,0,1,1,1,1,1,1,0.51895
52,29,29,102,2,1,2,2,1,1,1.3598
52,29,29,102,2,2,2,1,1,1,1.7582
52,29,29,93,1,2,1,2,1,1,1.3885
52,19,19,112,2,2,1,1,1,1,1.4262
52,10,10,124,1,1,1,1,1,1,1.5119
52,19,19,112,2,2,1,2,1,1,1.3881
52,8,8,128,2,1,2,2,1,1,1.3722
52,11,11,125,2,1,1,2,1,1,1.3736
52,5,5,129,2,2,2,1,0,0,0.0095024
52,4,4,125,2,2,2,1,1,1,1.4876
52,17,17,113,1,1,1,1,1,1,1.401
52,1,1,134,1,1,1,2,1,1,1.5853
52,11,11,123,1,2,2,2,1,1,1.3265
52,4,4,125,2,1,2,1,1,1,1.1839
52,3,3,133,2,1,2,1,1,1,1.2446
52,11,11,125,2,2,2,1,1,1,1.3146
52,15,15,116,1,2,2,2,1,1,1.4888
52,31,31,0,2,1,2,1,1,1,0.61448
52,13,13,118,1,2,1,1,1,1,1.6425
52,15,15,116,1,2,1,1,1,1,1.3794
52,15,15,121,2,1,1,1,1,1,1.4875
52,19,19,112,2,1,1,1,1,1,1.8194
52,13,13,118,2,1,1,1,1,1,1.2565
52,18,18,111,1,1,2,1,1,1,1.2526
52,2,2,133,2,2,2,1,1,1,1.3545
52,10,10,124,1,1,2,2,1,1,1.1585
52,10,10,124,1,1,1,2,1,1,1.3204
52,19,19,115,1,1,2,1,1,1,1.5445
52,2,2,131,1,1,2,2,1,1,1.3699
52,14,14,115,2,1,2,2,1,1,1.0524
52,14,14,115,2,1,1,2,1,1,1.596
52,28,28,108,1,2,2,2,1,1,1.3664
52,22,22,111,1,2,1,2,1,1,1.5095
52,32,32,0,2,1,2,1,1,1,0.82268
52,28,28,108,1,2,2,1,1,1,1.333
52,21,21,114,1,2,1,2,1,1,1.3423
52,15,15,121,2,2,1,2,1,1,1.4694
52,1,1,136,2,1,2,1,1,1,1.4504
52,17,17,121,2,2,1,1,1,1,1.4642
52,2,2,133,2,1,1,2,1,1,1.5817
52,15,15,116,1,1,1,1,1,1,1.4821
52,26,26,106,1,2,1,1,1,1,1.4299
52,17,17,121,2,1,2,1,1,1,1.4699
52,19,19,115,1,1,1,1,1,1,1.457
52,22,22,115,2,1,2,2,1,1,1.4501
52,30,30,97,2,2,1,2,1,1,1.3164
52,7,7,127,1,2,2,2,1,1,1.2205
52,32,32,0,1,2,2,1,1,1,0.8223
52,29,29,93,1,2,1,1,1,1,1.6287
52,23,23,103,2,1,1,2,1,1,1.4512
52,8,8,129,1,2,2,2,1,1,1.1751
52,24,24,110,2,2,1,2,1,1,1.3882
52,30,30,96,1,2,2,1,1,1,1.3743
52,22,22,111,1,1,2,2,1,1,1.4361
52,20,20,115,2,2,2,2,1,1,1.6127
52,16,16,111,2,2,2,2,1,1,1.1678
