Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST
0,0,0,0,0,0,0,0,0,5.0121
0,0,0,0,0,0,0,1,1,3.614
0,0,0,0,0,0,0,1,1,1.125
0,0,0,0,0,0,0,2,1,1.4697
0,0,0,0,0,0,0,2,1,2.104
0,0,0,0,0,0,0,2,1,1.6159
0,0,0,0,0,0,0,2,1,0.94377
0,0,0,0,0,0,0,1,1,1.6011
0,0,0,0,0,0,0,2,1,1.1553
0,0,0,0,0,0,0,1,1,3.8663
0,0,0,0,0,0,0,1,1,1.5984
0,0,0,0,0,0,0,1,1,2.1096
0,0,0,0,0,0,0,1,1,1.1023
0,0,0,0,0,0,0,1,1,1.2628
0,0,0,0,0,0,0,1,1,4.2764
0,0,0,0,0,0,0,1,1,1.2075
0,0,0,0,0,0,0,1,1,0.93079
0,0,0,0,0,0,0,1,1,1.8481
0,0,0,0,0,0,0,1,1,1.2862
0,0,0,0,0,0,0,1,1,2.6703
0,0,0,0,0,0,0,1,1,1.0676
0,0,0,0,0,0,0,1,1,1.4919
0,0,0,0,0,0,0,1,1,1.3803
0,0,0,0,0,0,0,2,1,0.83719
0,0,0,0,0,0,0,1,1,4.5087
0,0,0,0,0,0,0,1,1,1.2812
0,0,0,0,0,0,0,2,1,1.0298
0,0,0,0,0,0,0,1,1,1.3687
0,0,0,0,0,0,0,1,1,0.99463
0,0,0,0,0,0,0,1,1,4.4271
0,0,0,0,0,0,0,0,0,5.0022
0,0,0,0,0,0,0,1,1,1.2129
0,0,0,0,0,0,0,1,1,1.2669
0,0,0,0,0,0,0,1,1,3.4392
0,0,0,0,0,0,0,1,1,1.3286
0,0,0,0,0,0,0,1,1,1.0897
0,0,0,0,0,0,0,2,1,0.91476
0,0,0,0,0,0,0,1,1,0.9233
0,0,0,0,0,0,0,1,1,1.1405
0,0,0,0,0,0,0,1,1,2.0302
0,0,0,0,0,0,0,1,1,1.2575
0,0,0,0,0,0,0,1,1,1.2543
0,0,0,0,0,0,0,1,1,1.2465
0,0,0,0,0,0,0,1,1,1.4361
0,0,0,0,0,0,0,1,1,0.95813
0,0,0,0,0,0,0,1,1,1.5401
0,0,0,0,0,0,0,2,1,0.77169
0,0,0,0,0,0,0,1,1,2.3551
0,0,0,0,0,0,0,1,1,1.2711
0,0,0,0,0,0,0,1,1,0.93992
0,0,0,0,0,0,0,1,1,2.1663
0,0,0,0,0,0,0,1,1,1.1842
0,0,0,0,0,0,0,1,1,2.724
0,0,0,0,0,0,0,1,1,0.85594
0,0,0,0,0,0,0,1,1,0.91276
0,0,0,0,0,0,0,1,1,0.95742
0,0,0,0,0,0,0,1,1,1.8738
0,0,0,0,0,0,0,1,1,1.018
0,0,0,0,0,0,0,1,1,1.0738
0,0,0,0,0,0,0,1,1,0.9204
