Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST
0,0,0,0,0,0,0,1,1,3.142
0,0,0,0,0,0,0,2,1,0.91252
0,0,0,0,0,0,0,1,1,1.1645
0,0,0,0,0,0,0,1,1,2.859
0,0,0,0,0,0,0,1,1,1.0881
0,0,0,0,0,0,0,1,1,1.1837
0,0,0,0,0,0,0,1,1,0.99569
0,0,0,0,0,0,0,2,1,1.2912
0,0,0,0,0,0,0,2,1,3.8074
0,0,0,0,0,0,0,2,1,1.308
0,0,0,0,0,0,0,1,1,1.7629
0,0,0,0,0,0,0,2,1,1.4304
0,0,0,0,0,0,0,1,1,4.0752
0,0,0,0,0,0,0,1,1,1.0177
0,0,0,0,0,0,0,1,1,1.1684
0,0,0,0,0,0,0,2,1,1.0286
0,0,0,0,0,0,0,1,1,1.2337
0,0,0,0,0,0,0,1,1,3.6804
0,0,0,0,0,0,0,2,1,1.1993
0,0,0,0,0,0,0,2,1,1.2465
0,0,0,0,0,0,0,1,1,1.586
0,0,0,0,0,0,0,1,1,2.4703
0,0,0,0,0,0,0,1,1,1.1965
0,0,0,0,0,0,0,1,1,2.8897
0,0,0,0,0,0,0,1,1,1.8953
0,0,0,0,0,0,0,1,1,1.2169
0,0,0,0,0,0,0,1,1,1.1831
0,0,0,0,0,0,0,1,1,1.1934
0,0,0,0,0,0,0,1,1,1.9453
0,0,0,0,0,0,0,1,1,3.6763
0,0,0,0,0,0,0,1,1,1.199
0,0,0,0,0,0,0,1,1,2.2085
0,0,0,0,0,0,0,2,1,1.0513
0,0,0,0,0,0,0,1,1,1.392
0,0,0,0,0,0,0,1,1,1.4346
0,0,0,0,0,0,0,2,1,1.2242
0,0,0,0,0,0,0,2,1,1.2239
0,0,0,0,0,0,0,2,1,2.3276
0,0,0,0,0,0,0,1,1,1.2999
0,0,0,0,0,0,0,1,1,1.3511
0,0,0,0,0,0,0,1,1,1.4679
