Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST
0,0,0,0,0,0,0,1,1,3.453
0,0,0,0,0,0,0,2,1,0.7012
0,0,0,0,0,0,0,1,1,1.3839
0,0,0,0,0,0,0,1,1,2.8725
0,0,0,0,0,0,0,2,1,0.80617
0,0,0,0,0,0,0,1,1,1.1343
0,0,0,0,0,0,0,1,1,0.85935
0,0,0,0,0,0,0,1,1,0.9696
0,0,0,0,0,0,0,1,1,2.1982
0,0,0,0,0,0,0,1,1,1.1809
0,0,0,0,0,0,0,1,1,0.85236
0,0,0,0,0,0,0,2,1,0.88248
0,0,0,0,0,0,0,1,1,1.9269
0,0,0,0,0,0,0,1,1,2.1597
0,0,0,0,0,0,0,1,1,0.79321
0,0,0,0,0,0,0,2,1,0.95056
0,0,0,0,0,0,0,1,1,0.88919
0,0,0,0,0,0,0,1,1,1.0531
0,0,0,0,0,0,0,2,1,1.0146
0,0,0,0,0,0,0,2,1,1.0289
0,0,0,0,0,0,0,2,1,1.8869
0,0,0,0,0,0,0,2,1,1.922
0,0,0,0,0,0,0,2,1,3.1815
0,0,0,0,0,0,0,1,1,2.5251
0,0,0,0,0,0,0,2,1,1.1619
0,0,0,0,0,0,0,1,1,1.0365
0,0,0,0,0,0,0,1,1,1.2362
0,0,0,0,0,0,0,1,1,1.0063
0,0,0,0,0,0,0,1,1,1.1988
0,0,0,0,0,0,0,1,1,1.0522
0,0,0,0,0,0,0,2,1,2.0738
0,0,0,0,0,0,0,2,1,1.1967
0,0,0,0,0,0,0,1,1,1.5592
0,0,0,0,0,0,0,1,1,2.9407
0,0,0,0,0,0,0,2,1,1.3551
0,0,0,0,0,0,0,2,1,1.412
0,0,0,0,0,0,0,2,1,1.4982
0,0,0,0,0,0,0,1,1,2.4915
0,0,0,0,0,0,0,1,1,1.5523
0,0,0,0,0,0,0,2,1,1.1606
0,0,0,0,0,0,0,2,1,1.0041
