Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST
0,0,0,0,0,0,0,2,1,1.0896
0,0,0,0,0,0,0,1,1,3.2893
0,0,0,0,0,0,0,1,1,1.4491
0,0,0,0,0,0,0,1,1,1.3696
0,0,0,0,0,0,0,1,1,1.4019
0,0,0,0,0,0,0,0,0,5.0097
0,0,0,0,0,0,0,1,1,3.1774
0,0,0,0,0,0,0,1,1,1.6601
0,0,0,0,0,0,0,1,1,2.1297
0,0,0,0,0,0,0,1,1,1.3806
0,0,0,0,0,0,0,1,1,2.0846
0,0,0,0,0,0,0,1,1,1.1421
0,0,0,0,0,0,0,1,1,1.2094
0,0,0,0,0,0,0,2,1,1.0142
0,0,0,0,0,0,0,1,1,1.1606
0,0,0,0,0,0,0,1,1,1.2172
0,0,0,0,0,0,0,1,1,1.4416
0,0,0,0,0,0,0,1,1,1.3309
0,0,0,0,0,0,0,1,1,1.3741
0,0,0,0,0,0,0,1,1,2.4689
0,0,0,0,0,0,0,1,1,2.3094
0,0,0,0,0,0,0,1,1,1.2006
0,0,0,0,0,0,0,1,1,1.2385
0,0,0,0,0,0,0,2,1,1.1019
0,0,0,0,0,0,0,1,1,1.2342
0,0,0,0,0,0,0,1,1,4.4122
0,0,0,0,0,0,0,1,1,1.2081
0,0,0,0,0,0,0,1,1,3.4512
0,0,0,0,0,0,0,1,1,1.4596
0,0,0,0,0,0,0,1,1,1.4981
0,0,0,0,0,0,0,2,1,1.461
0,0,0,0,0,0,0,1,1,1.1545
0,0,0,0,0,0,0,1,1,1.1057
0,0,0,0,0,0,0,2,1,1.1548
0,0,0,0,0,0,0,1,1,1.2084
0,0,0,0,0,0,0,0,0,5.0019
0,0,0,0,0,0,0,1,1,1.2125
0,0,0,0,0,0,0,2,1,1.0997
0,0,0,0,0,0,0,1,1,1.1574
0,0,0,0,0,0,0,1,1,1.3031
0,0,0,0,0,0,0,1,1,2.7408
0,0,0,0,0,0,0,1,1,1.1072
0,0,0,0,0,0,0,1,1,1.2036
0,0,0,0,0,0,0,1,1,1.3218
0,0,0,0,0,0,0,1,1,1.497
0,0,0,0,0,0,0,1,1,1.7089
0,0,0,0,0,0,0,1,1,1.7222
0,0,0,0,0,0,0,0,0,5.0038
