Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST
0,0,0,0,0,0,0,1,1,3.5869
0,0,0,0,0,0,0,1,1,1.9318
0,0,0,0,0,0,0,2,1,1.0236
0,0,0,0,0,0,0,2,1,1.9103
0,0,0,0,0,0,0,1,1,2.4659
0,0,0,0,0,0,0,2,1,1.834
0,0,0,0,0,0,0,1,1,3.5384
0,0,0,0,0,0,0,1,1,2.4129
0,0,0,0,0,0,0,1,1,1.193
0,0,0,0,0,0,0,1,1,1.7115
0,0,0,0,0,0,0,1,1,1.2611
0,0,0,0,0,0,0,1,1,1.6537
0,0,0,0,0,0,0,2,1,1.634
0,0,0,0,0,0,0,2,1,1.5103
0,0,0,0,0,0,0,1,1,1.9334
0,0,0,0,0,0,0,1,1,1.4019
0,0,0,0,0,0,0,1,1,3.558
0,0,0,0,0,0,0,0,0,5.0114
0,0,0,0,0,0,0,2,1,2.241
0,0,0,0,0,0,0,1,1,1.4658
0,0,0,0,0,0,0,1,1,2.3829
0,0,0,0,0,0,0,2,1,1.4805
0,0,0,0,0,0,0,1,1,2.9516
0,0,0,0,0,0,0,1,1,1.6714
0,0,0,0,0,0,0,1,1,2.6222
0,0,0,0,0,0,0,1,1,1.4501
0,0,0,0,0,0,0,1,1,1.7114
0,0,0,0,0,0,0,1,1,1.7781
0,0,0,0,0,0,0,2,1,1.7261
0,0,0,0,0,0,0,2,1,1.6816
0,0,0,0,0,0,0,2,1,2.2487
0,0,0,0,0,0,0,1,1,1.2844
0,0,0,0,0,0,0,2,1,1.4179
0,0,0,0,0,0,0,1,1,1.5253
0,0,0,0,0,0,0,1,1,1.7602
0,0,0,0,0,0,0,2,1,1.5923
0,0,0,0,0,0,0,1,1,1.6139
0,0,0,0,0,0,0,1,1,1.9848
0,0,0,0,0,0,0,1,1,1.7364
0,0,0,0,0,0,0,1,1,1.3368
0,0,0,0,0,0,0,2,1,1.4445
0,0,0,0,0,0,0,1,1,1.6268
0,0,0,0,0,0,0,2,1,1.7808
0,0,0,0,0,0,0,1,1,2.083
0,0,0,0,0,0,0,2,1,1.4843
0,0,0,0,0,0,0,1,1,1.4751
0,0,0,0,0,0,0,2,1,1.2733
0,0,0,0,0,0,0,1,1,1.3768
0,0,0,0,0,0,0,2,1,2.2238
0,0,0,0,0,0,0,1,1,1.2572
0,0,0,0,0,0,0,1,1,1.9465
0,0,0,0,0,0,0,1,1,1.6653
0,0,0,0,0,0,0,2,1,1.5053
0,0,0,0,0,0,0,1,1,1.6102
0,0,0,0,0,0,0,2,1,1.3873
0,0,0,0,0,0,0,1,1,1.9049
0,0,0,0,0,0,0,1,1,2.5331
0,0,0,0,0,0,0,1,1,1.5555
