Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST
0,0,0,0,0,0,0,2,1,1.6683
0,0,0,0,0,0,0,1,1,3.2422
0,0,0,0,0,0,0,2,1,2.6999
0,0,0,0,0,0,0,1,1,2.7794
0,0,0,0,0,0,0,1,1,1.5133
0,0,0,0,0,0,0,2,1,1.078
0,0,0,0,0,0,0,2,1,1.1225
0,0,0,0,0,0,0,2,1,1.0855
0,0,0,0,0,0,0,1,1,1.7324
0,0,0,0,0,0,0,2,1,2.0553
0,0,0,0,0,0,0,1,1,1.5823
0,0,0,0,0,0,0,1,1,1.5995
0,0,0,0,0,0,0,1,1,3.0895
0,0,0,0,0,0,0,1,1,1.7297
0,0,0,0,0,0,0,1,1,1.5673
0,0,0,0,0,0,0,1,1,2.6962
0,0,0,0,0,0,0,1,1,3.1668
0,0,0,0,0,0,0,2,1,1.4493
0,0,0,0,0,0,0,2,1,1.3453
0,0,0,0,0,0,0,1,1,1.284
0,0,0,0,0,0,0,1,1,1.5617
0,0,0,0,0,0,0,2,1,1.3311
0,0,0,0,0,0,0,2,1,1.154
0,0,0,0,0,0,0,2,1,1.2874
0,0,0,0,0,0,0,1,1,1.7644
0,0,0,0,0,0,0,2,1,2.6297
0,0,0,0,0,0,0,1,1,1.3184
0,0,0,0,0,0,0,1,1,2.063
0,0,0,0,0,0,0,2,1,2.3602
0,0,0,0,0,0,0,1,1,1.071
0,0,0,0,0,0,0,1,1,1.1445
0,0,0,0,0,0,0,2,1,1.2637
0,0,0,0,0,0,0,2,1,1.5216
0,0,0,0,0,0,0,1,1,2.0319
0,0,0,0,0,0,0,1,1,1.4112
0,0,0,0,0,0,0,1,1,2.118
0,0,0,0,0,0,0,1,1,2.7804
0,0,0,0,0,0,0,2,1,2.4431
0,0,0,0,0,0,0,1,1,1.6514
0,0,0,0,0,0,0,1,1,2.0163
0,0,0,0,0,0,0,2,1,1.1183
0,0,0,0,0,0,0,1,1,1.6112
0,0,0,0,0,0,0,1,1,1.1323
0,0,0,0,0,0,0,1,1,1.1808
0,0,0,0,0,0,0,1,1,2.053
0,0,0,0,0,0,0,1,1,1.1813
0,0,0,0,0,0,0,1,1,1.8236
0,0,0,0,0,0,0,1,1,2.26
0,0,0,0,0,0,0,1,1,1.1648
0,0,0,0,0,0,0,1,1,1.2419
0,0,0,0,0,0,0,2,1,1.7084
0,0,0,0,0,0,0,2,1,1.313
0,0,0,0,0,0,0,1,1,2.1998
0,0,0,0,0,0,0,1,1,1.3455
0,0,0,0,0,0,0,1,1,1.6868
0,0,0,0,0,0,0,1,1,2.1481
0,0,0,0,0,0,0,1,1,1.4856
