subID,domEyeR,threshStHi,threshStLo,thresh,Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST
28,0,0.25411,0.12235,0.18823,1,30,97,0,1,0,0,1,1,1.8996
28,0,0.25411,0.12235,0.18823,2,30,96,1,1,0,0,1,1,1.9196
28,0,0.25411,0.12235,0.18823,3,26,106,1,1,1,1,1,1,1.1697
28,0,0.25411,0.12235,0.18823,5,18,117,0,1,0,0,1,1,1.6566
28,0,0.25411,0.12235,0.18823,6,24,110,0,0,1,1,1,1,1.6496
28,0,0.25411,0.12235,0.18823,7,16,128,1,1,0,0,1,1,1.6984
28,0,0.25411,0.12235,0.18823,8,5,133,1,0,0,0,1,1,1.1633
28,0,0.25411,0.12235,0.18823,9,25,106,1,1,1,1,1,1,1.1817
28,0,0.25411,0.12235,0.18823,10,10,124,1,1,1,1,1,1,1.3876
28,0,0.25411,0.12235,0.18823,11,11,125,0,1,1,1,1,1,1.4364
28,0,0.25411,0.12235,0.18823,13,2,133,0,0,1,1,1,1,1.8618
28,0,0.25411,0.12235,0.18823,14,5,133,1,1,1,1,1,1,1.2938
28,0,0.25411,0.12235,0.18823,15,7,128,0,0,0,0,1,1,1.259
28,0,0.25411,0.12235,0.18823,16,7,128,0,1,1,1,1,1,1.4647
28,0,0.25411,0.12235,0.18823,17,3,129,1,1,1,1,1,1,1.4973
28,0,0.25411,0.12235,0.18823,18,24,110,1,1,1,1,1,1,1.4179
28,0,0.25411,0.12235,0.18823,19,7,127,1,0,0,0,1,1,1.2512
28,0,0.25411,0.12235,0.18823,20,25,106,1,0,1,1,1,1,1.5917
28,0,0.25411,0.12235,0.18823,21,25,111,0,1,1,1,1,1,1.5598
28,0,0.25411,0.12235,0.18823,22,18,111,1,0,1,1,1,1,1.4419
28,0,0.25411,0.12235,0.18823,23,20,115,0,1,1,1,1,1,1.5469
28,0,0.25411,0.12235,0.18823,25,8,129,1,0,1,1,1,1,1.3355
