SubjectID,SentenceID,Congruent,Familiar,LocationTop,CueValid,ST
1,9,1,1,1,0,0.016648
1,4,0,0,0,0,1.9185
1,8,1,1,1,1,1.8144
1,32,1,1,1,0,0.013899
1,29,1,0,1,0,1.4537
1,32,0,0,0,1,0.0017615
1,21,0,0,1,0,1.732
1,19,0,0,1,1,1.9662
1,6,0,0,1,1,1.7102
1,1,0,1,0,0,1.324
1,11,1,0,0,1,1.2931
1,11,0,1,0,0,1.5884
1,30,0,1,0,1,1.4642
1,32,0,1,0,0,0.0032796
1,22,0,1,1,0,1.5536
1,3,0,0,1,0,1.79
1,3,0,1,1,0,1.9895
1,16,1,1,1,0,1.4702
1,23,1,1,1,0,1.8114
1,10,0,1,0,1,1.373
1,14,1,0,1,0,1.4125
1,4,1,1,1,0,1.6594
1,3,0,0,0,0,1.8268
1,26,1,1,1,1,1.4188
1,13,1,1,1,0,1.6761
1,17,0,1,0,1,1.5673
1,7,0,1,1,0,1.6003
1,28,1,0,1,0,1.5296
1,2,0,0,0,1,0.0029681
1,24,1,0,0,0,0.013582
1,29,0,0,1,1,1.6115
1,23,1,1,0,1,1.2193
1,19,1,0,1,1,1.2374
1,12,0,1,0,1,1.6199
1,13,0,1,0,1,1.4518
1,24,0,1,0,1,1.678
1,15,1,0,0,1,1.5353
1,25,0,1,1,1,1.3255
1,28,0,0,0,1,1.6536
1,1,0,1,1,0,1.7195
1,19,1,1,1,1,1.7011
1,22,0,0,0,0,1.5906
1,13,0,1,0,0,1.5204
1,6,0,1,0,0,1.6773
1,18,0,1,1,1,1.3635
1,6,0,1,1,1,1.6576
1,25,1,1,0,0,1.7201
1,12,0,0,0,0,1.4832
1,22,1,0,0,1,1.4902
1,20,1,0,0,0,1.386
1,23,1,0,1,0,1.6265
1,31,1,1,0,1,0.010336
1,10,1,0,0,0,1.7694
1,31,1,1,1,1,0.012384
1,28,1,0,0,1,1.1867
1,22,1,1,1,1,1.7275
1,14,0,1,0,0,1.5661
1,24,1,1,1,0,1.6441
1,28,1,1,0,0,1.4524
1,21,1,1,1,0,0.0069126
1,19,1,0,0,0,0.0044609
1,13,0,0,0,1,1.3158
1,26,1,1,1,0,0.012707
1,27,1,1,1,1,1.4998
1,21,1,1,1,1,1.6405
1,4,1,1,1,1,1.7749
1,11,1,1,0,0,1.6382
1,8,0,1,0,0,1.494
1,11,1,0,1,1,1.8418
1,28,1,0,1,1,1.4855
1,12,1,0,0,0,1.2635
1,17,0,0,0,1,1.646
1,15,1,0,1,0,1.4135
1,23,1,1,1,1,1.2728
1,9,0,1,1,0,1.8545
1,22,1,1,0,0,1.494
1,26,1,0,0,1,1.5181
1,10,0,1,0,0,1.5286
1,15,1,1,1,0,1.545
1,4,1,0,0,1,1.8609
1,20,1,1,0,1,1.3698
1,12,0,1,1,1,1.527
1,9,0,1,1,1,1.5571
1,16,1,0,1,1,1.3903
1,6,1,0,1,0,1.8721
1,3,1,1,1,1,1.7103
1,10,0,1,1,0,1.7058
1,24,0,1,0,0,1.7385
1,18,1,0,1,0,1.6887
1,19,0,1,1,0,1.3379
1,1,1,1,1,1,1.4842
1,17,0,1,1,1,1.5711
1,25,1,1,1,1,1.8191
1,31,1,1,1,0,0.013329
1,29,0,1,1,1,1.5205
1,2,0,0,1,1,1.7893
1,13,0,0,1,0,1.7316
1,1,1,0,1,0,1.4403
1,2,1,1,0,0,1.6619
1,21,1,0,1,0,1.596
1,2,0,0,0,0,0.0082389
1,18,1,0,1,1,1.6254
1,12,0,0,1,1,1.676
1,24,0,0,1,1,1.6015
1,11,1,0,0,0,1.6074
1,19,0,1,0,1,1.5052
1,31,0,1,0,1,0.0098091
1,5,1,0,0,0,1.6784
1,26,1,1,0,1,1.7618
1,30,1,0,1,0,1.4831
1,25,0,0,0,1,1.8916
1,12,0,1,0,0,1.5177
1,13,1,0,0,0,1.3261
1,1,1,1,0,0,1.5379
1,3,0,1,1,1,1.9057
1,1,1,0,0,1,1.7889
1,22,0,1,0,0,1.8364
1,5,1,0,1,1,1.6892
1,24,1,0,0,1,1.5929
1,18,1,1,0,0,1.5228
1,14,1,1,0,1,1.4887
1,31,1,0,1,0,0.0043074
1,8,1,1,0,1,1.674
1,32,0,1,1,0,0.011498
1,9,0,1,0,1,1.5504
1,6,0,0,0,0,0.014884
1,1,1,1,1,0,1.5301
1,21,1,0,0,0,1.545
1,23,1,0,0,0,1.5692
1,27,1,1,0,1,1.3098
1,26,0,1,1,0,1.4292
1,2,0,1,1,1,1.6422
1,17,1,1,1,0,1.6588
1,8,1,0,1,1,1.8347
1,11,0,0,0,0,1.5535
1,26,0,1,1,1,1.7058
1,23,1,1,0,0,1.6722
1,14,0,1,1,1,1.5849
1,26,0,1,0,1,1.3119
1,18,0,1,0,0,1.6985
1,29,1,1,0,0,1.6351
1,31,1,1,0,0,0.011367
1,4,0,1,1,0,1.5501
1,21,1,0,0,1,1.5432
1,8,1,0,0,1,1.5956
1,32,0,0,1,1,0.01571
1,6,0,1,1,0,0.01408
1,18,1,1,1,1,1.4984
1,26,1,1,0,0,1.8529
1,23,0,1,1,0,1.4366
1,12,1,0,1,1,1.5776
1,27,1,1,0,0,1.4142
1,15,0,0,0,0,1.7077
1,8,1,1,1,0,0.0042703
1,18,0,0,1,0,1.7543
1,5,0,0,1,1,1.473
